timestamp, name, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], compute_mode
2022/04/05 23:44:16.959, Tesla T4, 62, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:44:17.961, Tesla T4, 62, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:44:18.962, Tesla T4, 62, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:44:19.962, Tesla T4, 62, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:44:20.963, Tesla T4, 62, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:44:21.964, Tesla T4, 62, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:44:22.965, Tesla T4, 63, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:44:23.966, Tesla T4, 63, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:44:24.967, Tesla T4, 63, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:44:25.968, Tesla T4, 63, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:44:26.969, Tesla T4, 63, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:44:27.970, Tesla T4, 62, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:44:28.971, Tesla T4, 62, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:44:29.972, Tesla T4, 61, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:44:30.973, Tesla T4, 61, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:44:31.974, Tesla T4, 61, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:44:32.975, Tesla T4, 61, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:44:33.976, Tesla T4, 61, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:44:34.977, Tesla T4, 60, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:44:35.978, Tesla T4, 60, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:44:36.979, Tesla T4, 60, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:44:37.980, Tesla T4, 60, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:44:38.981, Tesla T4, 60, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:44:39.982, Tesla T4, 60, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:44:40.983, Tesla T4, 60, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:44:41.984, Tesla T4, 60, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:44:42.985, Tesla T4, 60, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:44:43.986, Tesla T4, 59, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:44:44.987, Tesla T4, 59, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:44:45.988, Tesla T4, 59, 0 %, 0 %, 0 MiB, Default
